# Time (s);Altitude (m);Total acceleration (m/s²);Roll rate (°/s);Pitch rate (°/s);Yaw rate (°/s)
22.78;546.99;6.27;0;-2.23;0.01
22.8;545.81;6.25;0;1.78;0.01
22.81;544.57;6.18;0;5.25;0.01
22.84;542.83;6.06;0;7.39;0.09
22.87;540.2;5.96;0;-3.81;-0
22.89;538.55;5.93;0;0.2;0
22.91;537.17;5.93;0;3.99;0
22.93;535.59;5.94;0;7.14;-0
22.96;533.21;6.01;0;-7.37;-0.02
23.01;529.64;6.04;0;-1.04;0
23.03;527.99;6.07;0;3.08;0
23.05;526.46;6.02;0;6.62;-0.01
23.07;524.36;5.9;0;-8.37;-0.01
23.11;521.19;5.8;0;-3.11;-0.01
23.13;519.78;5.78;0;0.81;-0
23.15;518.54;5.77;0;4.61;-0
23.16;517.08;5.8;0;7.59;0
23.19;514.9;5.9;0;-6.97;-0
23.22;512.32;5.91;0;-1.57;0
23.25;510.48;5.85;0;1.36;-0
23.28;507.73;5.78;0;2.74;0.03
23.33;503.71;5.7;0;0.19;-0.01
23.37;500.96;5.7;0;3.33;0.01
23.42;496.91;5.74;0;0.16;-0.01
23.45;493.84;5.71;0;2.08;-0
23.5;490.04;5.62;0;-2.72;-0.01
23.55;485.96;5.58;0;1.78;0
23.58;483.19;5.57;0;3.76;0
23.63;479.08;5.66;0;0.64;0.01
23.66;477.35;5.67;0;3.73;0
23.68;475.55;5.55;0;5.82;0.05
23.71;472.83;5.44;0;-2.19;0.01
23.73;471.03;5.42;0;1.36;0.01
23.75;469.27;5.43;0;4.62;-0
23.79;466.62;5.47;0;-6;-0.12
23.83;462.64;5.48;0;-1.42;-0.03
23.87;459.69;5.46;0;0.22;-0.01
23.92;455.51;5.36;0;-0.98;-0.01
23.97;451.32;5.37;0;-2.08;0.02
24.02;447.11;5.32;0;-2.68;0.03
24.07;442.89;5.26;0;1.87;0.02
24.12;438.88;5.28;0;-3.92;0.01
24.17;434.63;5.25;0;0.66;0
24.22;430.37;5.21;0;-1.87;-0.09
24.27;426.1;5.17;0;-0.64;0.03
24.32;421.81;5.13;0;0.66;0.01
24.37;417.52;5.12;0;-1.85;0.07
24.42;413.21;5.11;0;-0.02;-0.02
24.47;408.88;5.04;0;-1.85;-0.06
24.52;404.55;4.99;0;0.6;0.01
24.56;400.63;4.99;0;3.01;-0.05
24.61;396.27;4.99;0;-1.17;-0
24.66;391.9;4.94;0;-0.34;-0.03
24.71;387.51;4.89;0;-0.5;0.01
24.76;383.12;4.86;0;0.61;0.01
24.81;378.71;4.86;0;-3.31;-0.01
24.86;374.29;4.85;0;0.65;-0.02
24.9;370.61;4.8;0;1.96;-0.07
24.95;366.17;4.74;0;0.01;-0.04
25;361.72;4.74;0;-0.89;-0.05
25.05;357.25;4.71;0;-2.45;0.09
25.1;352.77;4.69;0;-0.03;-0.02
25.15;348.28;4.63;0;-0.47;0.01
25.2;343.78;4.6;0;2.89;0
25.25;339.27;4.62;0;0.79;-0.02
25.3;334.74;4.54;0;0.85;-0.03
25.35;330.21;4.53;0;1.9;-0.78
25.4;325.66;4.52;0;2.33;-0.05
25.45;321.23;4.44;0;1.58;-0.04
25.5;316.66;4.46;0;-1.08;0.02
25.55;312.08;4.43;0;3.65;0.01
25.59;308.54;4.34;0;-0.01;0.02
25.62;305.68;4.33;0;3.05;-0
25.66;302.12;4.4;0;-1.96;-0.02
25.7;297.98;4.34;0;1.92;0.01
25.75;293.97;4.27;0;-0.35;0.04
25.79;289.59;4.29;0;-0.95;-0.02
25.84;284.95;4.25;0;-0.48;0.02
25.89;280.29;4.22;0;0.51;-0.03
25.94;275.63;4.18;0;-1.15;-0.03
25.99;270.95;4.14;0;2.59;0.04
26.04;267.14;4.14;0;-3.14;0.02
26.09;262.45;4.15;0;1.01;0
26.12;259.47;4.1;0;2.57;0.19
26.16;255;4.06;0;3.53;-0.04
26.21;251.04;4.07;0;-0.58;0.01
26.26;246.31;4.01;0;0.18;-0.03
26.31;241.57;3.98;0;0.9;-0.03
26.36;236.83;3.95;0;-0.06;0.03
26.41;232.07;3.96;0;-4.98;-0.09
26.46;227.3;3.92;0;5.75;0.21
26.49;224.5;3.86;0;-2.83;0.04
26.53;220.28;3.84;0;3.62;0.02
26.56;217.74;3.84;0;5.14;0.18
26.6;213.93;3.92;0;0.14;0.01
26.62;211.88;3.95;0;2.81;0.02
26.64;209.7;3.85;0;5.57;0.05
26.67;206.42;3.72;0;-2.57;-0.01
26.69;204.56;3.7;0;1.29;0.02
26.71;203.06;3.7;0;5;0.02
26.73;201.13;3.73;0;7.38;0.07
26.76;198.23;3.89;0;-4.5;0.01
26.78;196.39;3.98;0;-0.2;0.01
26.79;195.01;3.93;0;3.63;0.01
26.81;193.39;3.8;0;6.61;0.02
26.83;190.96;3.65;0;-6.04;0.02
26.87;187.96;3.61;0;0.01;-0.01
26.88;186.4;3.61;0;3.61;0.01
26.9;184.35;3.65;0;5.76;0.06
26.93;181.26;3.79;0;-1.95;0.02
26.95;179.38;3.81;0;1.61;0.02
26.97;177.51;3.68;0;4.25;0.01
27;174.71;3.55;0;-2.25;0
27.03;172.31;3.53;0;1.53;0
27.05;170.13;3.55;0;4.37;0.01
27.08;166.86;3.63;0;-3.15;0.03
27.12;162.96;3.59;0;0.59;0.02
27.16;159.32;3.51;0;-1.15;0.03
27.21;154.42;3.53;0;-2.24;0.08
27.26;149.5;3.5;0;2.22;0.09
27.31;144.58;3.42;0;-0.19;0.01
27.36;139.64;3.44;0;-2.29;-0.14
27.41;134.7;3.44;0;-1.27;0.01
27.46;129.75;3.37;0;-1.16;0.02
27.51;124.8;3.33;0;0.6;0.04
27.56;119.83;3.35;0;-1.44;0
27.61;114.86;3.32;0;0.06;0.03
27.66;109.87;3.25;0;-0.11;-0.03
27.71;104.88;3.28;0;-3.25;0.07
27.76;99.88;3.23;0;1.58;0.06
27.81;94.88;3.19;0;1.7;0.01
27.86;89.86;3.19;0;-0.36;-0.01
27.91;84.84;3.17;0;-0.19;-0.04
27.96;79.81;3.09;0;-2.31;-0.03
28.01;74.77;3.18;-0;-7.39;0.08
28.06;69.73;3.1;0;4.58;-0.25
28.09;66.72;3.08;0;2.11;0.04
28.13;62.2;3.01;0;2.85;-0.02
28.16;59.34;3.01;0;4.12;-0.01
28.2;55.04;3.07;0;0.09;0.01
28.23;51.88;3.03;0;1.02;0.01
28.28;47.12;2.96;0;2.12;0.12
28.33;42.04;2.98;0;-0.53;0.04
28.38;36.94;2.96;0;0.9;0.03
28.43;32.29;2.86;0;-1.32;-0.02
28.48;27.18;2.94;0;-2.65;0.03
28.53;22.07;2.9;0;1.58;-0.03
28.58;17.18;2.79;0;-0.95;-0
28.63;12.05;2.92;0;-3.14;-0.02
28.68;6.91;2.79;0;-2.29;-0.07
28.73;1.77;2.77;0;0.5;-0
28.78;-3.38;2.7;0;-1.43;0
